name,desc,price,currency,date,locality,suburb,url
Se renta oficina ubicadisima,"¡¡¡EN RENTA OFICINA EN LA COLONIA ROMA NORTE!!! MUY BIEN UBICADA Y EXCELENTES CONDICIONES SE RENTA OFICINA PRIVADA EN 29.00 M2 Zona: Colonia Roma Norte, a 700 m de la estación de Metro Hospital General (L3) en una privilegiada ubicación habitacional y comercial. La oficina se encuentra caminando a vialidades principales como Eje 1 Cuauhtémoc, Eje 8 Chilpancingo, Viaducto, Medellín, Álvaro Obregón o Insurgentes Sur. Conectada con L3 y L9 de Metro, L1, L2 y L7 de Metrobús. Centros Comerciales cercanos como Pabellón Cuauhtémoc, Parque Delta o Plaza Insurgentes así como el Mercado Medellín o Mercado Roma. Distribución: - Construcción 29.44 m2 - Distribución en un nivel - Un solo espacio amplio - Frente de calle - Altura libre de 2.60 m - Sanitario amplio dentro de la oficina - Acceso compartido a cocina y comedor - Patio interior - Ventanas con protecciones, chapas de seguridad y alambrado electrificado Beneficios: - Réntala desde 3 o hasta 12 meses - Paga tu renta y depósito en efectivo, tarjeta o transferencia - Paga tu depósito hasta en 3 MSI Entrega: - ¡EN REMODELACIÓN! - Lista para amueblar - Incluye servicios de agua, luz, mantenimiento y uso de áreas comunes como cocina y comedor - No incluye limpieza interior - No incluye servicio de internet Requisitos: - 1 mes de renta corriente - 1 mes de depósito - Póliza jurídica - Sin aval - Sin garantía Disponibilidad: A partir del 15 de noviembre de 2019 ¡CONTÁCTANOS Y VISÍTALA!",11000,MXN,2019-11-10 20:46:43,Cuauhtémoc,Roma Norte,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/se-renta-oficina-ubicadisima-930400354
Se renta departamento amueblado en edificio nuevo ,"Se renta departamento amueblado en edificio nuevo a una cuadra del metro niños héroes, el edificio cuenta con vigilancia las 24 hrs. y 2 elevadores, el departamento tiene 2 recámaras con closet c/u (1 recámara con balcón y vista a la calle), 2 baños completos, sala, comedor, cocina (estufa, refrigerador, horno de microondas, licuadora y utensilios de cocina), asimismo cuenta con una lavasecadora (nueva), el departamento incluye 1 estacionamiento para camioneta o coche (no elevaautos), en el estacionamiento se encuentra un contenedor asignado para la basura. No se aceptan animales. Cualquier duda e información favor de comunicarse a los tel: 5525190858 o al 5519340555.",12000,MXN,2019-11-10 19:09:32,Cuauhtémoc,Doctores,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/se-renta-departamento-amueblado-en-edificio-nuevo-930399503
"Roma norte, amueblado listo para ocuparse","Amueblado, Interior, Muy Bien Ubicado, Listo Para Ocuparse En la calle de Querétaro entre Medellín y Monterrey a unos pasos del mercado Roma, se encuentra este lindo departamento que se renta amueblado, 50 metros; sala con sofa cama, comedor, cocina integral, recamara con closet y baño completo, el edificio es reciente sin afectación tras el sismo del 2017, es segundo piso con elevador pero sin estacionamiento , con terraza comun en la azotea",11000,MXN,2019-11-10 18:22:16,Cuauhtémoc,Roma Norte,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/roma-norte-amueblado-listo-para-ocuparse-930341029
Dep amueblado junto Ciudad judicial,"Hermoso departamento totalmente amueblado y equipado, con todo lo necesario para llegar a vivir!! Se encuentra en unidad habitacional con vigilancia, elevador, gym (pequeña cuota) área de juegos para niños, elevador y vigilancia 24 horas. El departamento cuenta con sala, comedor, recámara matrimonial y recámara individual, baño, cocina, zotehuela. En la renta está incluido el mantenimiento, internet, teléfono y televisión de paga. La luz, agua y gas (se paga por el usuario y e según sus consumos) El departamento tambie cuenta con refrigerador, horno de microondas, tele, lavadora, utensilios de cocina, colchas, sábanas, platos y lo necesario para vivir. El departamento se encuentra a unas calles del metro Zapata, ciudad a judicial y Universidad de Londres No ce aceptan mascotas y maximo 2 adultos tranquilos y responsables. Tengo whatsap y acepto llamadas",12000,MXN,2019-11-10 17:39:23,Cuauhtémoc,Doctores,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/dep-amueblado-junto-ciudad-judicial-930299393
Depto para estudiante,"Lindo depto para una sola persona cuenta con una recamara con closet, un baño completo con cancel, cocineta, esta en primer nivel esta todo nuevo, sin mascotas esta cerca de metro chabacano, obrera, hospital general de preferencia llamenos",5000,MXN,2019-11-10 16:11:06,Cuauhtémoc,Cuauhtémoc,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/depto-para-estudiante-930210690
"Rento departamento, con excelente ubicación","rento departamento, en doctor lavista,y av. niños héroes, cerca de televisa chapultepec, tribunal superior de justicia, tesorería, del gobierno del distrito federal, tribunales, y del metro niños héroes y balderas, y de todo tipo de servicios en general. el departamento esta en un segundo piso, y ultimo nivel, tiene dos recamaras, sala comedor, área de lavado y tendido integrada, al departamento, cocina semi equipada, hay que llevar su estufa, para colocar, baño completo. el departamento no cuenta con estacionamiento, sin embrago, frente al edifico, hay dos estacionamientos públicos. renta mensual $5,800.00, Cinco mil Ochocientos Pesos, No se admiten mascotas. los requisitos de arrendamiento a elegir son: 1.deposito, renta mensual, y fiador en la cdmx. o hay un segundo esquema de arrendamiento el cual es deposito, renta mensual,y contratar una póliza jurídica de arrendamiento. para mayores informes y citas, llamar de favor al, 55-1567-6103, en horarios hábiles",5800,MXN,2019-11-10 15:24:54,Cuauhtémoc,Doctores,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/rento-departamento-con-excelente-ubicacion-930297688
Departamento primer piso,"dos recamaras una con closet área de lavado, un baño completo, cocina tipo integral, sala comedor, tanque estacionario, tinaco. la renta incluye mantenimiento, agua y limpieza de área común. se requiere fiador cdmx un deposito y renta carta recomendación arrendador anterior sin niños solo mayores de 16 años gente tranquila sin mascotas de ningún tipo estacionamiento con costo de 500 citas enviar mensaje",7000,MXN,2019-11-10 15:04:38,Cuauhtémoc,Ex-Hipódromo de Peralvillo,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/departamento-primer-piso-930397528
Algarin 3 recs 1 baño Cto servicio muy amplio,Muy iluminado En esquina 3 Recs con closet cada una 1 baño Zotehuela Cocina Estancia 1 auto 1er piso Con cuarto de servicio con baño común muy grande en azotea,12000,MXN,2019-11-10 13:53:58,Cuauhtémoc,Algarin,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/algarin-3-recs-1-bano-cto-servicio-muy-amplio-930208855
Departamento muy bonito,Departamento en PB piso cerámico ares de lavado y tendido,7500,MXN,2019-11-10 13:50:48,Cuauhtémoc,Obrera,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/departamento-muy-bonito-930396782
Oficina en renta en el Centro,"Oficina en el centro de la ciudad, con excelente ubicación en 5 de febrero entre República de Salvador y Mesones, avenidas importantes y vías de acceso, a 3 cuadras del Zócalo de la CDMX. entre la estación del metro Zócalo e Isabel la Católica. Cuenta con múltiples espacios para aprovecharse a sus necesidades con 3 privados, recepción amplia, 1 baño, áreas para archivo, No cuenta con estacionamiento - pensiones a 1 y 2 cuadras, sin cuota de Mantenimiento. Requisitos: se renta solo para oficinas., un mes de Renta + IVA. Un depósito, fiador A p r o v e ch e o p o r t u n i d a d",9700,MXN,2019-11-10 13:37:54,Cuauhtémoc,Centro (Área 1),https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/oficina-en-renta-en-el-centro-930336697
